50,0.000747,747
100,0.000744,744
150,0.001302,1302
200,0.001364,1364
250,0.001633,1633
300,0.001762,1762
350,0.00213,2130
400,0.00212,2120
450,0.002476,2476
500,0.003245,3245
550,0.00345,3450
600,0.004145,4145
650,0.004223,4223
700,0.004509,4509
750,0.00455,4550
800,0.004957,4957
850,0.005253,5253
900,0.005519,5519
950,0.005702,5702
1000,0.006246,6246
